id,symbol,side,quantity,price,total,entry_time,exit_time,pnl,pnl_pct,reason,regime,created_at
1,TQQQ,SELL,9,49.6501,446.8509,,2026-02-25 00:49:41.354387,0.0,0.0,MACRO EXPOSURE: 98% → 50% (regime=BEAR_NORMAL),,2026-02-24 15:49:41
6,TQQQ,SELL,4,49.3576,197.4304,,2026-02-27 02:19:05.496340,0.0,0.0,MACRO EXPOSURE: 96% → 50% (regime=UNKNOWN),,2026-02-26 17:19:05
9,TQQQ,SELL,1,49.35,49.35,,2026-02-28 02:14:11.976400,0.0,0.0,MACRO EXPOSURE: 57% → 50% (regime=BULL_NORMAL),,2026-02-27 17:14:11
10,SQQQ,BUY,1,71.3791,71.3791,2026-02-28 02:53:19.297570,,0.0,0.0,,BULL_NORMAL,2026-02-27 17:53:19
11,TQQQ,SELL,1,48.915,48.915,,2026-02-28 03:24:02.219342,0.0,0.0,MACRO EXPOSURE: 59% → 50% (regime=BULL_NORMAL),,2026-02-27 18:24:02
