Date,Ticker,Regime,Score,Buy,Sell,PnL,Result,Reason
2026-01-23,INTC,RISK_OFF,69.0,45.07,43.72,-11250.0,LOSS 📉,STOP_LOSS(-3%)
2026-01-23,META,RISK_OFF,65.2,658.76,672.36,7741.8,WIN 📈,TAKE_PROFIT/END_OF_DAY
2026-01-23,TQQQ,RISK_OFF,62.0,54.38,55.08,4827.15,WIN 📈,TAKE_PROFIT/END_OF_DAY
2026-01-26,META,RISK_OFF,64.0,672.36,672.97,340.51,WIN 📈,TAKE_PROFIT/END_OF_DAY
2026-01-26,AMD,RISK_OFF,63.8,251.31,252.03,1075.32,WIN 📈,TAKE_PROFIT/END_OF_DAY
2026-01-26,SOXL,RISK_OFF,63.2,60.7,64.96,26341.09,WIN 📈,TAKE_PROFIT/END_OF_DAY
2026-01-27,AMZN,RISK_OFF,66.0,244.68,243.01,-2609.08,LOSS 📉,TAKE_PROFIT/END_OF_DAY
2026-01-27,NVDA,RISK_OFF,65.8,188.52,191.52,6083.21,WIN 📈,TAKE_PROFIT/END_OF_DAY
2026-01-27,TQQQ,RISK_OFF,65.3,56.54,57.06,3515.74,WIN 📈,TAKE_PROFIT/END_OF_DAY
2026-01-28,AMZN,RISK_OFF,66.1,243.01,241.73,-2022.72,LOSS 📉,TAKE_PROFIT/END_OF_DAY
2026-01-28,NVDA,RISK_OFF,65.9,191.52,192.51,1985.03,WIN 📈,TAKE_PROFIT/END_OF_DAY
2026-01-28,TQQQ,RISK_OFF,65.9,57.06,55.35,-11520.49,LOSS 📉,STOP_LOSS(-3%)
2026-01-29,TQQQ,RISK_OFF,67.0,56.04,54.36,-11433.81,LOSS 📉,STOP_LOSS(-3%)
2026-01-29,UPRO,RISK_OFF,66.9,120.74,117.12,-11433.81,LOSS 📉,STOP_LOSS(-3%)
2026-01-29,AMZN,RISK_OFF,66.4,241.73,239.3,-3831.28,LOSS 📉,TAKE_PROFIT/END_OF_DAY
2026-01-30,AMZN,RISK_OFF,66.3,239.3,242.96,5727.11,WIN 📈,TAKE_PROFIT/END_OF_DAY
2026-01-30,NVDA,RISK_OFF,66.2,191.13,185.4,-11233.56,LOSS 📉,STOP_LOSS(-3%)
2026-01-30,META,RISK_OFF,64.7,716.5,706.41,-5273.18,LOSS 📉,TAKE_PROFIT/END_OF_DAY
2026-02-02,UPRO,RISK_OFF,65.8,121.43,117.79,-11152.72,LOSS 📉,STOP_LOSS(-3%)
2026-02-02,AMZN,RISK_OFF,65.8,242.96,235.67,-11152.72,LOSS 📉,STOP_LOSS(-3%)
2026-02-02,TQQQ,RISK_OFF,65.7,55.1,53.45,-11152.72,LOSS 📉,STOP_LOSS(-3%)
2026-02-03,GOOGL,RISK_OFF,66.3,339.71,329.52,-10901.78,LOSS 📉,STOP_LOSS(-3%)
2026-02-03,GME,RISK_OFF,65.1,24.52,24.98,6817.3,WIN 📈,TAKE_PROFIT/END_OF_DAY
2026-02-03,AMD,RISK_OFF,64.8,242.11,234.85,-10901.78,LOSS 📉,STOP_LOSS(-3%)
2026-02-04,GOOGL,RISK_OFF,64.5,333.04,323.05,-10789.38,LOSS 📉,STOP_LOSS(-3%)
2026-02-04,GME,RISK_OFF,63.8,24.98,24.69,-4175.22,LOSS 📉,TAKE_PROFIT/END_OF_DAY
2026-02-04,INTC,RISK_OFF,61.7,48.6,47.14,-10789.38,LOSS 📉,STOP_LOSS(-3%)
2026-02-05,GME,RISK_OFF,63.9,24.69,24.98,4148.64,WIN 📈,TAKE_PROFIT/END_OF_DAY
2026-02-05,INTC,RISK_OFF,61.5,48.24,50.59,17206.41,WIN 📈,TAKE_PROFIT/END_OF_DAY
2026-02-05,META,RISK_OFF,61.3,670.21,650.1,-10596.23,LOSS 📉,STOP_LOSS(-3%)
2026-02-06,GME,RISK_OFF,63.8,24.98,24.23,-10676.92,LOSS 📉,STOP_LOSS(-3%)
2026-02-06,META,RISK_OFF,63.4,661.46,677.22,8479.61,WIN 📈,TAKE_PROFIT/END_OF_DAY
2026-02-06,SOXL,RISK_OFF,62.8,61.75,59.9,-10676.92,LOSS 📉,STOP_LOSS(-3%)
2026-02-09,SQQQ,RISK_OFF,63.3,68.41,69.38,5000.67,WIN 📈,TAKE_PROFIT/END_OF_DAY
2026-02-09,GME,RISK_OFF,63.0,24.64,24.82,2576.39,WIN 📈,TAKE_PROFIT/END_OF_DAY
2026-02-09,SOXL,RISK_OFF,61.7,64.03,62.11,-10580.36,LOSS 📉,STOP_LOSS(-3%)
2026-02-10,NVDA,RISK_OFF,65.5,188.54,190.05,2818.58,WIN 📈,TAKE_PROFIT/END_OF_DAY
2026-02-10,SQQQ,RISK_OFF,63.1,69.38,68.88,-2536.24,LOSS 📉,TAKE_PROFIT/END_OF_DAY
2026-02-10,GME,RISK_OFF,63.0,24.82,24.08,-10557.84,LOSS 📉,STOP_LOSS(-3%)
2026-02-11,NVDA,RISK_OFF,65.6,190.05,186.94,-5716.95,LOSS 📉,TAKE_PROFIT/END_OF_DAY
2026-02-11,GME,RISK_OFF,64.8,24.21,23.48,-10480.77,LOSS 📉,STOP_LOSS(-3%)
